# Yale Bright Star Catalogue 5 - converted by bsc5_converter.py
# RA_deg, Dec_deg, Vmag, BV
36.487500,-12.290556,4.890,-0.030
36.965833,50.569722,6.120,0.410
36.501250,-15.341111,5.830,0.150
36.779167,27.013333,6.180,1.430
36.865417,31.801389,5.540,1.120
36.646667,-20.042778,5.880,1.260
36.224583,-60.311944,5.350,0.390
35.717917,-73.645833,5.010,1.090
37.354167,55.536389,6.510,0.090
37.041667,29.669444,5.290,0.000
37.039583,8.460000,4.280,-0.060
37.000000,1.960833,6.450,0.970
37.202083,29.931944,5.890,0.580
36.746250,-47.703889,4.250,-0.140
36.359583,-66.494722,6.410,1.540
37.306667,23.468889,6.190,0.150
37.007083,-33.811111,5.140,0.100
37.397083,9.565833,6.070,1.020
37.569167,33.833889,6.250,1.070
37.147500,-31.102500,6.110,1.110
37.635000,25.235000,5.920,0.410
37.660000,19.855278,6.150,0.250
37.480833,-22.682778,6.770,0.190
37.726667,17.703889,6.230,0.900
37.688333,0.255278,6.000,0.170
37.557500,-25.186389,6.510,0.290
37.018333,-64.299722,6.370,-0.040
